                                        ================
                                        col     min_w   max_w   numeric_abs_max
w3mjdmean               decimal(13,8)   171     0       14      55468.77547212
rho12                   integer         172     0       3       99
rho23                   integer         173     0       3       99
q12                     integer         174     0       1       9
q23                     integer         175     0       1       9
xscprox                 decimal(7,2)    176     0       6       409.19
w1rsemi                 decimal(7,2)    177     0       6       180
w1ba                    decimal(3,2)    178     0       4       1
w1pa                    decimal(5,2)    179     0       5       107
w1gmag                  decimal(5,3)    180     0       6       17.908
w1gerr                  decimal(4,3)    181     0       5       3.092
w1gflg                  integer         182     0       2       19
w2rsemi                 decimal(7,2)    183     0       6       180
w2ba                    decimal(3,2)    184     0       4       1
w2pa                    decimal(5,2)    185     0       5       107
w2gmag                  decimal(5,3)    186     0       6       19.264
w2gerr                  decimal(4,3)    187     0       5       9.999
w2gflg                  integer         188     0       2       19
w3rsemi                 decimal(7,2)    189     0       6       180
w3ba                    decimal(3,2)    190     0       4       1
w3pa                    decimal(5,2)    191     0       5       107
w3gmag                  decimal(5,3)    192     0       6       20.701
w3gerr                  decimal(4,3)    193     0       5       9.999
w3gflg                  integer         194     0       2       21
w1cc_map                integer         195     1       4       3483
w1cc_map_str            char(9)         196     0       4       0
w2cc_map                integer         197     1       4       3483
w2cc_map_str            char(9)         198     0       4       0
w3cc_map                integer         199     1       4       3483
w3cc_map_str            char(9)         200     0       4       0
cc_flags                char(4)         201     4       4       0
det_bit                 integer         202     1       1       7
ph_qual                 char(4)         203     4       4       0
rel                     char(1)         204     0       0       0
spos                    smallint        205     1       1       6
sdet                    smallint        206     1       1       6
napp                    smallint        207     1       1       7
best_use_cntr           int8            208     0       19      3.56016810123104e+18
ngrp                    smallint        209     1       1       3
use_src                 smallint        210     1       1       1
ext_flg                 integer         211     1       1       5
var_flg                 char(4)         212     4       4       99
moon_lev                char(4)         213     4       4       6790
designation             char(20)        214     19      19      0
cntr_allsky             int8            215     0       19      3.56216660124105e+18
r_allsky                decimal(5,3)    216     0       5       3
pa_allsky               decimal(4,1)    217     0       6       180
n_allsky                integer         218     1       1       3
w1mpro_allsky           decimal(5,3)    219     0       6       20.169
w1sigmpro_allsky        decimal(4,3)    220     0       5       0.543
w2mpro_allsky           decimal(5,3)    221     0       6       18.897
w2sigmpro_allsky        decimal(4,3)    222     0       5       0.543
w3mpro_allsky           decimal(5,3)    223     0       6       14.606
w3sigmpro_allsky        decimal(4,3)    224     0       5       0.543
w4mpro_allsky           decimal(5,3)    225     0       6       11.953
w4sigmpro_allsky        decimal(4,3)    226     0       5       0.543
tmass_key               integer         227     0       10      1339393157
r_2mass                 decimal(5,3)    228     0       5       3
pa_2mass                decimal(4,1)    229     0       6       180
n_2mass                 integer         230     1       1       6
j_m_2mass               decimal(5,3)    231     0       6       19.894
j_msig_2mass            decimal(4,3)    232     0       5       9.998
h_m_2mass               decimal(5,3)    233     0       6       18.241
h_msig_2mass            decimal(4,3)    234     0       5       9.998
k_m_2mass               decimal(5,3)    235     0       6       20.532
k_msig_2mass            decimal(4,3)    236     0       5       9.999
load_id                 integer         237     3       3       808
cntr                    serial8         238     14      19      3.56016810123104e+18
x                       decimal(17,16)  239     10      19      0.740577759351469
y                       decimal(17,16)  240     9       19      0.999999998307363
z                       decimal(17,16)  241     9       19      0.99999999650016
spt_ind                 integer         242     9       9       233333333
  ================
